person_id,method,matched_frames,valid_points,mpjpe,median,p95,evaluation_protocol
3,avg_body_current,1119,78330,0.099743858856707,0.0891612286808667,0.2270996862247221,similarity_plus_hip_centering
30,avg_body_current,1119,78330,0.0727408089197981,0.0607841904623497,0.1674321544519903,similarity_plus_hip_centering
33,avg_body_current,958,67060,0.0679931729196838,0.0573541615338735,0.1576441411430697,similarity_plus_hip_centering
35,avg_body_current,1117,78190,0.0647076913090365,0.0592566705827371,0.1287007860591052,similarity_plus_hip_centering
39,avg_body_current,1028,71960,0.0542448756290264,0.0429420150275702,0.1389096332201163,similarity_plus_hip_centering
4,avg_body_current,1145,80150,0.0715840425003629,0.0599872963149386,0.1716534156342684,similarity_plus_hip_centering
40,avg_body_current,1128,78960,0.0772657994173161,0.0637479753866041,0.1961757405982957,similarity_plus_hip_centering
41,avg_body_current,1195,83650,0.047538897736738,0.0388917814583859,0.1231753340675136,similarity_plus_hip_centering
42,avg_body_current,1115,78050,0.058920066760571,0.0487844152858771,0.1471716738092625,similarity_plus_hip_centering
43,avg_body_current,1123,78610,0.0814129429812566,0.066495489861614,0.2004847138875182,similarity_plus_hip_centering
44,avg_body_current,1133,79310,0.0635680026599318,0.0534545371732075,0.1523515298747488,similarity_plus_hip_centering
46,avg_body_current,1116,78120,0.0634489502732047,0.0557171289750804,0.1311873646259448,similarity_plus_hip_centering
47,avg_body_current,1118,78260,0.0555377766143386,0.0495318498640056,0.1142873546486363,similarity_plus_hip_centering
5,avg_body_current,1110,77700,0.0539539939743878,0.0456107784262104,0.1302270562209229,similarity_plus_hip_centering
53,avg_body_current,961,67270,0.0562398514914071,0.045097475939794,0.1457030489563061,similarity_plus_hip_centering
54,avg_body_current,1119,78330,0.0591163912688557,0.0503888079658292,0.1351726446786908,similarity_plus_hip_centering
55,avg_body_current,1116,78120,0.0576220733282847,0.0512053726776605,0.1249543932439648,similarity_plus_hip_centering
56,avg_body_current,1094,76580,0.0641304753192095,0.0583295361749517,0.1315818450991616,similarity_plus_hip_centering
58,avg_body_current,1112,77840,0.0670854470934773,0.0549557704858018,0.1603412827855749,similarity_plus_hip_centering
59,avg_body_current,1075,75250,0.0648328966731515,0.0578383260686611,0.1363990208796402,similarity_plus_hip_centering
6,avg_body_current,1113,77910,0.0744074295535567,0.0573657961961563,0.2047366411857592,similarity_plus_hip_centering
61,avg_body_current,948,66360,0.0943149479190435,0.0794761246570959,0.2251001317461911,similarity_plus_hip_centering
62,avg_body_current,946,66220,0.0825677602889209,0.0664812868051844,0.1975925918222991,similarity_plus_hip_centering
63,avg_body_current,1114,77980,0.0867895594833865,0.0736595697824344,0.2088789734234586,similarity_plus_hip_centering
64,avg_body_current,1121,78470,0.0773660932783296,0.0688570876495712,0.1702048247170066,similarity_plus_hip_centering
65,avg_body_current,1124,78680,0.0684254352032246,0.0610859125084375,0.1415438185492749,similarity_plus_hip_centering
66,avg_body_current,965,67550,0.1010843199453708,0.0873154773735486,0.2188428422850265,similarity_plus_hip_centering
67,avg_body_current,1115,78050,0.0587155842521848,0.0492835239113382,0.1440579043861479,similarity_plus_hip_centering
68,avg_body_current,967,67690,0.0490291052168322,0.0430331391419804,0.1086694957806553,similarity_plus_hip_centering
69,avg_body_current,961,67270,0.0543507667930628,0.0410828160385183,0.1414831692616073,similarity_plus_hip_centering
7,avg_body_current,954,66780,0.0789522072516475,0.0629024423144306,0.2076460179297583,similarity_plus_hip_centering
70,avg_body_current,1128,78960,0.0562009962255026,0.0480318435973966,0.1266742697160665,similarity_plus_hip_centering
72,avg_body_current,1112,77840,0.0530572020195199,0.0471258084444352,0.1158609514263449,similarity_plus_hip_centering
74,avg_body_current,1126,78820,0.0678340415977327,0.0617450677587818,0.1452759231741995,similarity_plus_hip_centering
75,avg_body_current,1117,78190,0.0564231287014963,0.0478180103466426,0.1309319105171761,similarity_plus_hip_centering
76,avg_body_current,1060,74200,0.0524577864157295,0.044089260423125,0.1199790904437737,similarity_plus_hip_centering
77,avg_body_current,1119,78330,0.0483561740764167,0.0425828118752516,0.1114104671872454,similarity_plus_hip_centering
78,avg_body_current,957,66990,0.0531344100649458,0.0479801906395469,0.1138608804737886,similarity_plus_hip_centering
8,avg_body_current,1136,79520,0.0568829769802243,0.0498653288028751,0.1266474186675318,similarity_plus_hip_centering
80,avg_body_current,1102,77140,0.0643802953635603,0.0532425060894212,0.1520479656931128,similarity_plus_hip_centering
81,avg_body_current,1118,78260,0.0706710662941931,0.0590818270632997,0.1640924039694097,similarity_plus_hip_centering
82,avg_body_current,1111,77770,0.052395240468993,0.0441362942942074,0.124411759466506,similarity_plus_hip_centering
83,avg_body_current,1119,78330,0.066994651233177,0.0566339689202877,0.1684300964497877,similarity_plus_hip_centering
87,avg_body_current,1168,81760,0.0478195078094162,0.0409196747870559,0.1056768426897073,similarity_plus_hip_centering
9,avg_body_current,1114,77980,0.0576208586773727,0.0483777099359699,0.1352787785350809,similarity_plus_hip_centering
90,avg_body_current,959,67130,0.0607798453243053,0.0521810970762656,0.129808710989713,similarity_plus_hip_centering
91,avg_body_current,1113,77910,0.0431522404912195,0.0390186657773823,0.0945984621366302,similarity_plus_hip_centering
92,avg_body_current,1119,78330,0.0544757756791628,0.0457793845588273,0.1312823875172906,similarity_plus_hip_centering
93,avg_body_current,1111,77770,0.085017626236021,0.0739990969425276,0.1900037421098983,similarity_plus_hip_centering
94,avg_body_current,1123,78610,0.0563916139189735,0.0523529535463827,0.1222113664588764,similarity_plus_hip_centering
95,avg_body_current,1109,77630,0.0414325110368993,0.0333534715398699,0.1007622852712977,similarity_plus_hip_centering
97,avg_body_current,1107,77490,0.0415313386329885,0.0363465917767309,0.0923735368788245,similarity_plus_hip_centering
99,avg_body_current,1111,77770,0.0446166825818739,0.0372725055804185,0.1003735239572898,similarity_plus_hip_centering
107,avg_body_current,946,66220,0.051702784781583,0.0396599638905698,0.1494238362681358,similarity_plus_hip_centering
118,avg_body_current,1114,77980,0.0578824486111327,0.048836104536116,0.1326941311124213,similarity_plus_hip_centering
12,avg_body_current,955,66850,0.0651545419042644,0.0527265031956502,0.1741897589443209,similarity_plus_hip_centering
123,avg_body_current,1114,77980,0.0926882970434896,0.0767709320794673,0.2236087636973658,similarity_plus_hip_centering
126,avg_body_current,1130,79100,0.105283351298666,0.0798985855405258,0.2736668397876565,similarity_plus_hip_centering
13,avg_body_current,967,67690,0.0792056758582861,0.0664987804624684,0.1892981944365712,similarity_plus_hip_centering
137,avg_body_current,1112,77840,0.046216566147032,0.039566378730209,0.1058960765020654,similarity_plus_hip_centering
17,avg_body_current,1042,72940,0.0609954028357929,0.0519978499450593,0.1426308036906421,similarity_plus_hip_centering
23,avg_body_current,960,67200,0.0782550141289415,0.0630292927963163,0.1922817992705636,similarity_plus_hip_centering
27,avg_body_current,1132,79240,0.0585305295272412,0.049897184503894,0.1429716457092698,similarity_plus_hip_centering
31,avg_body_current,958,67060,0.0691050339434659,0.0550336508460489,0.1685369468897153,similarity_plus_hip_centering
32,avg_body_current,954,66780,0.0704191094261744,0.056728027834533,0.1693758113418114,similarity_plus_hip_centering
34,avg_body_current,960,67200,0.0734097449977432,0.0663317430026977,0.1576342667460274,similarity_plus_hip_centering
37,avg_body_current,943,66010,0.0598157505075645,0.048320923360497,0.138582175918048,similarity_plus_hip_centering
38,avg_body_current,952,66640,0.061174166191754,0.0482001467615146,0.1557641772872758,similarity_plus_hip_centering
